durations,speakers,titles,views,hashtags
18:19,Casey Gerald,The gospel of doubt,1.6M,"Inspiring, Beautiful"
17:07,Jennifer Brea,What happens when you have a disease doctors can't diagnose,1.6M,"Courageous, Inspiring"
13:14,Ed Yong,Zombie roaches and other parasite tales,1.6M,"Fascinating, Informative"
 5:51,Joshua Walters,On being just crazy enough,1.6M,"Courageous, Inspiring"
21:26,David Pogue,Simplicity sells,1.6M,"Funny, Informative"
17:49,Vernā Myers,How to overcome our biases? Walk boldly toward them,1.6M,"Inspiring, Beautiful"
13:57,Bono,"The good news on poverty (Yes, there's good news)",1.6M,"Inspiring, Informative"
17:36,Neri Oxman,Design at the intersection of technology and biology,1.6M,"Fascinating, Inspiring"
12:41,Caroline Paul,"To raise brave girls, encourage adventure",1.6M,"Inspiring, Courageous"
 9:48,Cesar Harada,How I teach kids to love science,1.6M,"Inspiring, Informative"
13:47,Nagin Cox,What time is it on Mars?,1.6M,"Informative, Fascinating"
20:01,Kevin Rudd,Are China and the US doomed to conflict?,1.6M,"Informative, Inspiring"
20:18,Laura Schulz,The surprisingly logical minds of babies,1.6M,"Informative, Fascinating"
13:42,Jedidah Isler,The untapped genius that could change science for the better,1.6M,"Inspiring, Courageous"
12:25,Helen Pearson,Lessons from the longest study on human development,1.6M,"Informative, Inspiring"
16:53,Sebastião Salgado,The silent drama of photography,1.6M,"Inspiring, Fascinating"
10:26,Alix Generous,How I learned to communicate my inner life with Asperger's,1.6M,"Inspiring, Courageous"
24:05,Jennifer Lin,"Improvising on piano, aged 14",1.6M,"Beautiful, Inspiring"
20:00,Kevin Kelly,How technology evolves,1.6M,"Persuasive, Fascinating"
18:51,Noy Thrupkaew,Human trafficking is all around you. This is how it works,1.6M,"Informative, Courageous"
17:24,Rob Knight,How our microbes make us who we are,1.6M,"Informative, Fascinating"
 4:14,JD Schramm,Break the silence for suicide attempt survivors,1.6M,"Courageous, Inspiring"
14:01,Rose George,Let's talk crap. Seriously.,1.6M,"Informative, Persuasive"
15:16,Mia Birdsong,The story we tell about poverty isn't true,1.6M,"Inspiring, Beautiful"
16:29,Brian Cox,Why we need the explorers,1.6M,"Inspiring, Beautiful"
11:43,David Kwong,Two nerdy obsessions meet — and it's magic,1.6M,"Fascinating, Ingenious"
 4:07,Renny Gleeson,"404, the story of a page not found",1.6M,"Funny, Informative"
12:36,Stephen Wilkes,"The passing of time, caught in a single photo",1.6M,"Beautiful, Fascinating"
 3:26,Camille Seaman,Photos from a storm chaser,1.6M,"Beautiful, Fascinating"
 7:05,Dave Meslin,The antidote to apathy,1.6M,"Inspiring, Persuasive"
 6:52,Erin McKean,"Go ahead, make up new words!",1.6M,"Funny, Inspiring"
16:25,Navi Radjou,Creative problem-solving in the face of extreme limits,1.6M,"Inspiring, Informative"
 5:46,Moshe Safdie,How to reinvent the apartment building,1.6M,"Informative, Fascinating"
10:54,Meron Gribetz,A glimpse of the future through an augmented reality headset,1.6M,"Fascinating, Inspiring"
19:18,Travis Kalanick,Uber's plan to get more people into fewer cars,1.6M,"Informative, Inspiring"
 7:52,Robin Nagle,What I discovered in New York City  trash,1.6M,"Informative, Inspiring"
15:26,Dan Dennett,Dangerous memes,1.6M,"Persuasive, Informative"
15:55,Caleb Harper,This computer will grow your food in the future,1.6M,"Inspiring, Fascinating"
 5:10,Dean Kamen,"Luke, a new prosthetic arm for soldiers",1.6M,"Inspiring, Ingenious"
 3:17,Rives,A story of mixed emoticons,1.6M,"Funny, Ingenious"
29:51,Richard Branson,"Life at 30,000 feet",1.6M,"Inspiring, Fascinating"
 6:20,Danit Peleg,Forget shopping. Soon you'll download your new clothes,1.6M,"Fascinating, Beautiful"
 8:23,Tea Uglow,An Internet without screens might look like this,1.6M,"Inspiring, Informative"
25:01,Regina Dugan,From mach-20 glider to hummingbird drone,1.6M,"Inspiring, Fascinating"
12:47,Rainer Strack,The workforce crisis of 2030 — and how to start solving it now,1.6M,"Informative, Inspiring"
17:14,Stephen Petranek,Your kids might live on Mars. Here's how they'll survive,1.6M,"Informative, Persuasive"
 9:56,Malte Spitz,Your phone company is watching,1.6M,"Informative, Courageous"
 6:34,Philip Zimbardo,The psychology of time,1.6M,"Informative, Inspiring"
 8:38,John Legend,"""Redemption Song""",1.6M,"Inspiring, Beautiful"
12:16,David Baron,You owe it to yourself to experience a total solar eclipse,1.6M,"Inspiring, Beautiful"
12:01,Carol F Cohen,How to get back to work after a career break,1.6M,"Inspiring, Informative"
 5:46,Julian Treasure,The 4 ways sound affects us,1.6M,"Informative, Fascinating"
14:41,Russ Altman,What really happens when you mix medications?,1.6M,"Informative, Fascinating"
10:58,Aspen Baker,A better way to talk about abortion,1.6M,"Inspiring, Courageous"
18:20,Theo E.J. Wilson,A black man goes undercover in the alt-right,1.6M,"Inspiring, Courageous"
14:40,Kwame Anthony Appiah,Is religion good or bad? (This is a trick question),1.6M,"Informative, Fascinating"
21:24,Cameron Herold,Let's raise kids to be entrepreneurs,1.6M,"Inspiring, Persuasive"
16:04,Alice Goffman,How we're priming some kids for college — and others for prison,1.6M,"Inspiring, Informative"
29:28,Chimamanda Ngozi Adichie,We should all be feminists,1.6M,"Inspiring, Beautiful"
 5:40,Shimpei Takahashi,Play this word game to come up with original ideas,1.6M,"Funny, Inspiring"
 5:13,Ludwick Marishane,A bath without water,1.6M,"Inspiring, Ingenious"
17:32,Taryn Simon,Photographs of secret sites,1.6M,"Fascinating, Informative"
15:55,Michael Dickinson,How a fly flies,1.6M,"Fascinating, Informative"
14:59,Boyd Varty,What I learned from Nelson Mandela,1.6M,"Inspiring, Beautiful"
 6:35,Nikki Webber Allen,Don't suffer from your depression in silence,1.6M,"Inspiring, Courageous"
22:18,Sherwin Nuland,How electroshock therapy changed me,1.6M,"Courageous, Inspiring"
12:06,Robert Thurman,We can be Buddhas,1.6M,"Inspiring, Beautiful"
12:36,Rabbi Lord Jonathan Sacks,"How we can face the future without fear, together",1.6M,"Inspiring, Beautiful"
 5:57,Juan Enriquez,"Your online life, permanent as a tattoo",1.6M,"Informative, Persuasive"
16:52,Thomas Heatherwick,Building the Seed Cathedral,1.6M,"Inspiring, Ingenious"
11:42,Shigeru Ban,Emergency shelters made from paper,1.6M,"Inspiring, Ingenious"
 7:37,Joseph Redmon,How computers learn to recognize objects instantly,1.6M,"Informative, Fascinating"
12:09,Andy Yen,Think your email's private? Think again,1.6M,"Informative, Persuasive"
14:49,Lisa Harouni,A primer on 3D printing,1.6M,"Informative, Fascinating"
15:58,Michael Kimmel,Why gender equality is good for everyone — men included,1.6M,"Inspiring, Funny"
20:17,Jonathan Haidt and Chris Anderson,Can a divided America heal?,1.6M,"Informative, Inspiring"
 5:46,Kenneth Shinozuka,"My simple invention, designed to keep my grandfather safe",1.6M,"Inspiring, Ingenious"
12:53,Taylor Wilson,My radical plan for small nuclear fission reactors,1.6M,"Ingenious, Fascinating"
14:27,Charmian Gooch,Meet global corruption's hidden players,1.6M,"Courageous, Informative"
12:56,Margaret Gould Stewart,"How giant websites design for you (and a billion others, too)",1.6M,"Informative, Inspiring"
 7:53,Samuel Cohen,Alzheimer's is not normal aging — and we can cure it,1.6M,"Informative, Inspiring"
 9:46,Tom Gruber,"How AI can enhance our memory, work and social lives",1.6M,"Informative, Inspiring"
12:25,Jennifer Kahn,Gene editing can now change an entire species — forever,1.6M,"Informative, Fascinating"
10:06,David Lee,Why jobs of the future won't feel like work,1.6M,"Inspiring, Informative"
16:09,Jim Al-Khalili,How quantum biology might explain life’s biggest questions,1.6M,"Fascinating, Informative"
12:25,Guy Winch,How to fix a broken heart,1.6M,"Inspiring, Informative"
 4:02,Billy Collins,Two poems about what dogs think (probably),1.6M,"Funny, Beautiful"
17:19,Peter Singer,The why and how of effective altruism,1.6M,"Inspiring, Persuasive"
 9:08,Drew Berry,Animations of unseeable biology,1.6M,"Fascinating, Beautiful"
11:14,Chris Jordan,Turning powerful stats into art,1.6M,"Inspiring, Informative"
20:11,James Watson,How we discovered DNA,1.6M,"Informative, Funny"
17:49,Pamela Ronald,The case for engineering our food,1.6M,"Informative, Persuasive"
25:28,Sarah Jones,"One woman, five characters, and a sex lesson from the future",1.6M,"Funny, Ingenious"
 6:06,Sarah Bergbreiter,Why I make robots the size of a grain of rice,1.5M,"Informative, Fascinating"
20:19,Niall Ferguson,The 6 killer apps of prosperity,1.5M,"Informative, Fascinating"
14:38,Margaret Heffernan,The dangers of willful blindness,1.5M,"Inspiring, Courageous"
 7:19,Sue Jaye Johnson,What we don't teach kids about sex,1.5M,"Inspiring, Informative"
15:54,Sean M Carroll,Distant time and the hint of a multiverse,1.5M,"Fascinating, Informative"
16:59,Maryn McKenna,What do we do when antibiotics don't work any more?,1.5M,"Informative, Persuasive"
15:28,Riccardo Sabatini,How to read the genome and build a human being,1.5M,"Informative, Fascinating"
 4:02,Christopher deCharms,A look inside the brain in real time,1.5M,"Fascinating, Informative"
 3:59,Lucy McRae,How can technology transform the human body?,1.5M,"Fascinating, Beautiful"
 5:25,Aomawa Shields,How we'll find life on other planets,1.5M,"Informative, Inspiring"
 6:01,Joshua Prager,Wisdom from great writers on every year of life,1.5M,"Inspiring, Beautiful"
11:50,Ivan Coyote,Why we need gender-neutral bathrooms,1.5M,"Courageous, Inspiring"
16:10,Ashley Judd,How online abuse of women has spiraled out of control,1.5M,"Courageous, Inspiring"
 5:31,Mark Shaw,One very dry demo,1.5M,"Fascinating, Ingenious"
11:20,Tyler DeWitt,Hey science teachers — make it fun,1.5M,"Inspiring, Persuasive"
13:54,Kelli Swazey,Life that doesn't end with death,1.5M,"Informative, Fascinating"
13:58,Harish Manwani,Profit’s not always the point,1.5M,"Inspiring, Informative"
11:45,Mona Chalabi,3 ways to spot a bad statistic,1.5M,"Informative, Persuasive"
 6:58,Paul Tasner,How I became an entrepreneur at 66,1.5M,"Inspiring, Courageous"
18:11,Handspring Puppet Company,The genius puppetry behind War Horse,1.5M,"Ingenious, Beautiful"
16:57,Ron Eglash,The fractals at the heart of African designs,1.5M,"Fascinating, Informative"
18:36,Sarah Jones,What does the future hold? 11 characters offer quirky answers,1.5M,"Funny, Ingenious"
14:36,Christen Reighter,I don't want children — stop telling me I'll change my mind,1.5M,"Courageous, Inspiring"
 9:02,Kristin Poinar,What's hidden under the Greenland ice sheet?,1.5M,"Informative, Fascinating"
19:58,Stephen Wolfram,Computing a theory of all knowledge,1.5M,"Fascinating, Ingenious"
15:15,Mick Cornett,How an obese town lost a million pounds,1.5M,"Inspiring, Informative"
18:07,Sam Richards,A radical experiment in empathy,1.5M,"Persuasive, Courageous"
22:12,Jim Yong Kim,Doesn't everyone deserve a chance at a good life?,1.5M,"Inspiring, Persuasive"
16:09,Eric Sanderson,New York — before the City,1.5M,"Fascinating, Informative"
 8:42,AJ Jacobs,How healthy living nearly killed me,1.5M,"Funny, Informative"
16:34,Paul Zak,"Trust, morality — and oxytocin?",1.5M,"Fascinating, Informative"
18:37,Jeff Speck,4 ways to make a city more walkable,1.5M,"Informative, Persuasive"
19:18,Mikko Hypponen,How the NSA betrayed the world's trust — time to act,1.5M,"Informative, Persuasive"
10:47,Eric Haseltine,What will be the next big scientific breakthrough?,1.5M,"Inspiring, Informative"
13:51,Latif Nasser,The amazing story of the man who gave us modern pain relief,1.5M,"Inspiring, Informative"
 7:28,John Koenig,Beautiful new words to describe obscure emotions,1.5M,"Inspiring, Beautiful"
12:51,Lisa Nip,How humans could evolve to survive in space,1.5M,"Informative, Inspiring"
14:16,Manal al-Sharif,A Saudi woman who dared to drive,1.5M,"Courageous, Inspiring"
11:21,Laura Robinson,The secrets I find on the mysterious ocean floor,1.5M,"Informative, Beautiful"
13:35,Tony Wyss-Coray,"How young blood might help reverse aging. Yes, really",1.5M,"Fascinating, Informative"
 9:53,Ellen Jorgensen,What you need to know about CRISPR,1.5M,"Informative, Fascinating"
12:26,Michael Bierut,How to design a library that makes kids want to read,1.5M,"Inspiring, Funny"
17:34,Blaise Agüera y Arcas,How computers are learning to be creative,1.5M,"Fascinating, Informative"
 7:53,Amber Case,We are all cyborgs now,1.5M,"Fascinating, Informative"
10:39,James Green,3 moons and a planet that could have alien life,1.5M,"Informative, Fascinating"
17:11,Anne-Marie Slaughter,"Can we all ""have it all""?",1.5M,"Inspiring, Courageous"
14:15,Tristram Stuart,The global food waste scandal,1.5M,"Informative, Persuasive"
17:19,Conrad Wolfram,Teaching kids real math with computers,1.5M,"Persuasive, Inspiring"
14:13,Luma Mufleh,Don't feel sorry for refugees — believe in them,1.5M,"Inspiring, Courageous"
11:28,Roxane Gay,Confessions of a bad feminist,1.5M,"Inspiring, Courageous"
 7:30,Tavi Gevinson,A teen just trying to figure it out,1.5M,"Inspiring, Courageous"
13:48,Steve Silberman,The forgotten history of autism,1.5M,"Informative, Persuasive"
13:23,Geraldine Hamilton,Body parts on a chip,1.5M,"Fascinating, Ingenious"
10:05,Pico Iyer,The beauty of what we'll never know,1.5M,"Inspiring, Beautiful"
21:26,Garrett Lisi,An 8-dimensional model of the universe,1.5M,"Fascinating, Beautiful"
19:15,Melissa Fleming,A boat carrying 500 refugees sunk at sea. The story of two survivors,1.5M,"Inspiring, Beautiful"
20:59,Sugata Mitra,Kids can teach themselves,1.5M,"Inspiring, Fascinating"
17:53,Shashi Tharoor,Why nations should pursue soft power,1.5M,"Inspiring, Fascinating"
 6:49,Jill Heinerth,The mysterious world of underwater caves,1.5M,"Fascinating, Informative"
19:56,Hans Rosling,Let my dataset change your mindset,1.5M,"Informative, Fascinating"
17:33,Elizabeth Lev,The unheard story of the Sistine Chapel,1.5M,"Informative, Fascinating"
14:55,Tristan Harris,How better tech could protect us from distraction,1.5M,"Inspiring, Informative"
18:48,William Black,"How to rob a bank (from the inside, that is)",1.5M,"Informative, Persuasive"
12:49,Alan Smith,Why you should love statistics,1.5M,"Informative, Fascinating"
15:22,John Underkoffler,Pointing to the future of UI,1.5M,"Fascinating, Ingenious"
 4:34,Mike Matas,A next-generation digital book,1.5M,"Ingenious, Fascinating"
10:16,Chris Milk,How virtual reality can create the ultimate empathy machine,1.5M,"Inspiring, Fascinating"
12:37,Eddie Obeng,Smart failure for a fast-changing world,1.5M,"Inspiring, Funny"
10:03,Jason Pontin,Can technology solve our big problems?,1.5M,"Informative, Inspiring"
17:46,Colin Powell,Kids need structure,1.5M,"Inspiring, Persuasive"
21:58,Elif Shafak,The revolutionary power of diverse thought,1.5M,"Inspiring, Courageous"
13:36,Heather Lanier,"""Good"" and ""bad"" are incomplete stories we tell ourselves",1.5M,"Inspiring, Beautiful"
14:01,Joan Halifax,Compassion and the true meaning of empathy,1.5M,"Inspiring, Beautiful"
 6:13,Jill Shargaa,"Please, please, people. Let's put the 'awe' back in 'awesome'",1.5M,"Funny, Persuasive"
 4:10,Marcin Jakubowski,Open-sourced blueprints for civilization,1.5M,"Inspiring, Ingenious"
12:02,Augie Picado,The real reason manufacturing jobs are disappearing,1.5M,"Informative, Persuasive"
18:18,Aaron Koblin,Visualizing ourselves ... with crowd-sourced data,1.5M,"Fascinating, Inspiring"
 3:56,Naturally 7,A full-band beatbox,1.5M,"Fascinating, Beautiful"
 9:03,Jinsop Lee,Design for all 5 senses,1.5M,"Inspiring, Fascinating"
13:44,Kevin Kelly,How AI can bring on a second Industrial Revolution,1.5M,"Informative, Inspiring"
16:39,Luis von Ahn,Massive-scale online collaboration,1.5M,"Ingenious, Inspiring"
12:03,Ann Morgan,My year reading a book from every country in the world,1.5M,"Inspiring, Fascinating"
 6:08,Lux Narayan,"What I learned from 2,000 obituaries",1.5M,"Inspiring, Fascinating"
 9:50,Onora O'Neill,What we don't understand about trust,1.5M,"Persuasive, Informative"
14:24,Paul Greenberg,The four fish we're overeating — and what to eat instead,1.5M,"Informative, Persuasive"
 4:03,Uldus Bakhtiozina,Wry photos that turn stereotypes upside down,1.5M,"Funny, Beautiful"
16:48,Shea Hembrey,How I became 100 artists,1.5M,"Funny, Ingenious"
14:41,Anab Jain,Why we need to imagine different futures,1.5M,"Inspiring, Informative"
19:38,Derek Paravicini and Adam Ockelford,In the key of genius,1.5M,"Inspiring, Beautiful"
15:49,Andrés Ruzo,The boiling river of the Amazon,1.5M,"Inspiring, Fascinating"
20:33,Sergey Brin and Larry Page,The genesis of Google,1.5M,"Informative, Inspiring"
14:57,Barbara Natterson-Horowitz,What veterinarians know that physicians don't,1.5M,"Informative, Inspiring"
17:51,LZ Granderson,The myth of the gay agenda,1.5M,"Inspiring, Funny"
 8:11,Shivani Siroya,A smart loan for people with no credit history (yet),1.5M,"Inspiring, Informative"
 7:16,Maya Penn,"Meet a young entrepreneur, cartoonist, designer, activist ...",1.5M,"Inspiring, Beautiful"
20:05,William McDonough,Cradle to cradle design,1.5M,"Persuasive, Inspiring"
14:26,Michael Patrick Lynch,How to see past your own perspective and find truth,1.5M,"Informative, Inspiring"
12:25,Sebastian Wernicke,How to use data to make a hit TV show,1.5M,"Informative, Fascinating"
 9:11,Shubhendu Sharma,How to grow a forest in your backyard,1.5M,"Inspiring, Informative"
 6:03,Judy MacDonald Johnston,Prepare for a good end of life,1.5M,"Informative, Inspiring"
16:58,Iwan Baan,Ingenious homes in unexpected places,1.5M,"Fascinating, Inspiring"
15:35,Ash Beckham,When to take a stand — and when to let it go,1.5M,"Inspiring, Courageous"
11:09,Jason deCaires Taylor,"An underwater art museum, teeming with life",1.4M,"Beautiful, Inspiring"
 9:30,Greg Gage,Electrical experiments with plants that count and communicate,1.4M,"Informative, Fascinating"
17:41,Lorrie Faith Cranor,What’s wrong with your pa$$w0rd?,1.4M,"Informative, Persuasive"
19:25,Alan Russell,The potential of regenerative medicine,1.4M,"Fascinating, Informative"
16:35,Mark Plotkin,What the people of the Amazon know that you don't,1.4M,"Informative, Fascinating"
16:05,P.W. Singer,Military robots and the future of war,1.4M,"Informative, Fascinating"
 5:00,Kitra Cahana,A glimpse of life on the road,1.4M,"Informative, Inspiring"
 4:39,Anand Agarawala,Rethink the desktop with BumpTop,1.4M,"Ingenious, Funny"
14:28,Alan Eustace,I leapt from the stratosphere. Here's how I did it,1.4M,"Courageous, Inspiring"
12:00,Shaka Senghor,Why your worst deeds don’t define you,1.4M,"Inspiring, Courageous"
 7:54,Toby Shapshak,You don't need an app for that,1.4M,"Informative, Inspiring"
10:20,Grady Booch,Don't fear superintelligent AI,1.4M,"Inspiring, Informative"
15:32,Courtney E. Martin,The new American Dream,1.4M,"Inspiring, Beautiful"
 7:20,Tom Hulme,What can we learn from shortcuts?,1.4M,"Informative, Inspiring"
15:06,Amy Smith,Simple designs to save a life,1.4M,"Inspiring, Ingenious"
15:14,Heribert Watzke,The brain in your gut,1.4M,"Informative, Fascinating"
15:02,Renata Salecl,Our unhealthy obsession with choice,1.4M,"Informative, Inspiring"
17:26,James Lyne,Everyday cybercrime — and what you can do about it,1.4M,"Informative, Fascinating"
18:13,Rishi Manchanda,What makes us get sick? Look upstream,1.4M,"Informative, Inspiring"
14:04,Dambisa Moyo,Economic growth has stalled. Let's fix it,1.4M,"Informative, Persuasive"
 8:49,Alison Killing,What happens when a city runs out of room for its dead,1.4M,"Informative, Funny"
20:10,Mark Pagel,How language transformed humanity,1.4M,"Informative, Fascinating"
18:51,Michael Anti,Behind the Great Firewall of China,1.4M,"Informative, Courageous"
18:00,Bruce Feiler,Agile programming — for your family,1.4M,"Inspiring, Informative"
11:10,Aditi Gupta,A taboo-free way to talk about periods,1.4M,"Informative, Inspiring"
10:33,Wendy Troxel,Why school should start later for teens,1.4M,"Informative, Persuasive"
15:49,Kenneth Lacovara,Hunting for dinosaurs showed me our place in the universe,1.4M,"Inspiring, Informative"
14:07,Danny Dorling,Maps that show us who we are (not just where we are),1.4M,"Informative, Fascinating"
 3:30,Frans Lanting,Photos that give voice to the animal kingdom,1.4M,"Beautiful, Inspiring"
17:34,Alex Steffen,The route to a sustainable future,1.4M,"Inspiring, Informative"
12:36,Chelsea Shields,How I'm working for change inside my church,1.4M,"Inspiring, Courageous"
12:13,Ueli Gegenschatz,Extreme wingsuit flying,1.4M,"Courageous, Beautiful"
 9:35,Daniel H. Cohen,For argument's sake,1.4M,"Informative, Persuasive"
10:17,Sarah Gray,How my son's short life made a lasting difference,1.4M,"Inspiring, Beautiful"
13:10,"Christopher ""moot"" Poole",The case for anonymity online,1.4M,"Funny, Fascinating"
19:01,Charles Leadbeater,The era of open innovation,1.4M,"Inspiring, Informative"
11:44,Tim Leberecht,4 ways to build a human company in the age of machines,1.4M,"Inspiring, Beautiful"
12:27,Kate Adams,4 larger-than-life lessons from soap operas,1.4M,"Inspiring, Funny"
15:54,James Beacham,How we explore unanswered questions in physics,1.4M,"Inspiring, Informative"
 9:32,Kiran Sethi,"Kids, take charge",1.4M,"Inspiring, Persuasive"
16:36,Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuse,1.4M,"Informative, Inspiring"
11:58,Marlene Zuk,What we learn from insects' sex lives,1.4M,"Funny, Informative"
18:19,Lawrence Lessig,"We the People, and the Republic we must reclaim",1.4M,"Persuasive, Inspiring"
18:32,Abraham Verghese,A doctor's touch,1.4M,"Inspiring, Beautiful"
16:13,Brian Skerry,The ocean's glory — and horror,1.4M,"Inspiring, Informative"
13:11,Alastair Parvin,Architecture for the people by the people,1.4M,"Inspiring, Ingenious"
13:09,Vijay Kumar,The future of flying robots,1.4M,"Informative, Inspiring"
 3:12,Dean Ornish,Your genes are not your fate,1.4M,"Informative, Inspiring"
13:12,Marc Abrahams,"A science award that makes you laugh, then think",1.4M,"Funny, Informative"
16:39,David Logan,Tribal leadership,1.4M,"Inspiring, Informative"
17:33,Geoffrey West,The surprising math of cities and corporations,1.4M,"Fascinating, Informative"
12:08,Sam Kass,Want kids to learn well? Feed them well,1.4M,"Informative, Inspiring"
13:57,Philip Evans,How data will transform business,1.4M,"Informative, Fascinating"
11:04,Rana el Kaliouby,This app knows how you feel — from the look on your face,1.4M,"Informative, Fascinating"
11:23,Rose George,Inside the secret shipping industry,1.4M,"Informative, Fascinating"
 9:22,Sean Follmer,Shape-shifting tech will change work as we know it,1.4M,"Fascinating, Ingenious"
14:08,Rachel Sussman,The world's oldest living things,1.4M,"Fascinating, Informative"
 7:30,Jae Rhim Lee,My mushroom burial suit,1.4M,"Ingenious, Fascinating"
14:37,Francesco Sauro,"Deep under the Earth's surface, discovering beauty and science",1.4M,"Fascinating, Beautiful"
10:42,Paula Hammond,A new superweapon in the fight against cancer,1.4M,"Informative, Inspiring"
15:29,Alyson McGregor,Why medicine often has dangerous side effects for women,1.4M,"Informative, Persuasive"
17:03,Talithia Williams,Own your body's data,1.4M,"Informative, Funny"
12:36,Marco Annunziata,Welcome to the age of the industrial internet,1.4M,"Informative, Inspiring"
16:09,Patricia Burchat,Shedding light on dark matter,1.4M,"Informative, Fascinating"
20:05,Karima Bennoune,When people of Muslim heritage challenge fundamentalism,1.4M,"Courageous, Inspiring"
 5:39,eL Seed,Street art with a message of hope and peace,1.4M,"Beautiful, Inspiring"
 9:18,Andreas Ekström,The moral bias behind your search results,1.4M,"Informative, Persuasive"
20:58,JK Rowling,The fringe benefits of failure,1.4M,"Inspiring, Beautiful"
10:48,Safwat Saleem,"Why I keep speaking up, even when people mock my accent",1.4M,"Inspiring, Courageous"
 8:46,Fahad Al-Attiya,A country with no water,1.4M,"Informative, Inspiring"
12:46,Anas Aremeyaw Anas,"How I named, shamed and jailed",1.4M,"Courageous, Inspiring"
13:58,Harry Baker,A love poem for lonely prime numbers,1.4M,"Beautiful, Funny"
 3:38,Steven Addis,"A father-daughter bond, one photo at a time",1.4M,"Beautiful, Inspiring"
14:27,Caleb Barlow,Where is cybercrime really coming from?,1.4M,"Informative, Persuasive"
19:50,John Hunter,Teaching with the World Peace Game,1.4M,"Inspiring, Ingenious"
15:27,Aaron Huey,America's native prisoners of war,1.4M,"Courageous, Informative"
17:45,Shlomo Benartzi,"Saving for tomorrow, tomorrow",1.4M,"Informative, Persuasive"
 7:04,Jennifer Pluznick,"You smell with your body, not just your nose",1.4M,"Informative, Fascinating"
15:30,Arvind Gupta,Turning trash into toys for learning,1.4M,"Inspiring, Ingenious"
19:29,Laurel Braitman,"Depressed dogs, cats with OCD — what animal madness means for us humans",1.4M,"Informative, Inspiring"
16:34,Marcel Dicke,Why not eat insects?,1.4M,"Persuasive, Informative"
15:45,Jessica Shortall,The US needs paid family leave — for the sake of its future,1.4M,"Informative, Courageous"
16:41,Bjorn Lomborg,Global priorities bigger than climate change,1.4M,"Persuasive, Informative"
17:25,Michael Pollan,A plant's-eye view,1.4M,"Inspiring, Fascinating"
16:50,Tim Brown,Designers — think big!,1.4M,"Inspiring, Informative"
12:22,Quixotic Fusion,Dancing with light,1.4M,"Beautiful, Fascinating"
16:56,Hugh Evans,What does it mean to be a citizen of the world?,1.4M,"Inspiring, Persuasive"
18:57,Janine Shepherd,A broken body isn't a broken person,1.4M,"Inspiring, Courageous"
13:45,Lesley Hazleton,The doubt essential to faith,1.4M,"Inspiring, Fascinating"
13:42,Dave Brain,What a planet needs to sustain life,1.4M,"Informative, Fascinating"
13:49,Colin Camerer,"When you're making a deal, what's going on in your brain?",1.4M,"Informative, Fascinating"
19:34,Kevin Kelly,"The next 5,000 days of the web",1.4M,"Fascinating, Informative"
17:01,Svante Pääbo,DNA clues to our inner neanderthal,1.4M,"Fascinating, Informative"
10:05,Nathan Myhrvold,Cooking as never seen before,1.4M,"Informative, Fascinating"
20:11,Jeff Hawkins,How brain science will change computing,1.4M,"Fascinating, Informative"
17:01,Didier Sornette,How we can predict the next financial crisis,1.4M,"Informative, Persuasive"
17:57,Abe Davis,New video technology that reveals an object's hidden properties,1.4M,"Fascinating, Inspiring"
 7:38,Dan Cobley,What physics taught me about marketing,1.4M,"Informative, Funny"
16:14,Peter Diamandis,Abundance is our future,1.4M,"Inspiring, Persuasive"
 9:21,Arunachalam Muruganantham,How I started a sanitary napkin revolution!,1.4M,"Inspiring, Ingenious"
11:23,Ismael Nazario,What I learned as a kid in jail,1.4M,"Inspiring, Courageous"
14:09,Deborah Gordon,"What ants teach us about the brain, cancer and the Internet",1.4M,"Informative, Fascinating"
18:10,Nancy Duarte,The secret structure of great talks,1.4M,"Inspiring, Informative"
16:23,Tim Berners-Lee,The next web,1.4M,"Informative, Inspiring"
 5:57,Cosmin Mihaiu,Physical therapy is boring — play a game instead,1.4M,"Ingenious, Informative"
17:03,Sakena Yacoobi,How I stopped the Taliban from shutting down my school,1.4M,"Inspiring, Courageous"
17:08,Rachel Botsman,We've stopped trusting institutions and started trusting strangers,1.4M,"Informative, Fascinating"
 6:31,Marco Tempest,A magical tale (with augmented reality),1.4M,"Fascinating, Beautiful"
11:31,Kaki King,A musical escape into a world of light and color,1.4M,"Beautiful, Fascinating"
17:18,Jimmy Nelson,Gorgeous portraits of the world's vanishing people,1.4M,"Beautiful, Inspiring"
14:25,Leslie T. Chang,The voices of China's workers,1.4M,"Informative, Inspiring"
21:00,Thomas Piketty,New thoughts on capital in the twenty-first century,1.4M,"Informative, Fascinating"
 6:26,Alanna Shaikh,How I'm preparing to get Alzheimer's,1.4M,"Inspiring, Courageous"
10:54,Jon Bowers,We should aim for perfection — and stop fearing failure,1.3M,"Inspiring, Persuasive"
22:35,E.O. Wilson,My wish: Build the Encyclopedia of Life,1.3M,"Inspiring, Informative"
15:51,Kenneth Cukier,Big data is better data,1.3M,"Informative, Fascinating"
 7:44,Christopher Soghoian,Your smartphone is a civil rights issue,1.3M,"Informative, Persuasive"
16:14,Sara Seager,The search for planets beyond our solar system,1.3M,"Informative, Fascinating"
16:12,Tricia Wang,The human insights missing from big data,1.3M,"Informative, Fascinating"
20:59,Nicholas Christakis,The hidden influence of social networks,1.3M,"Informative, Fascinating"
